Bed Room,BHK,Place,Price,Sq Ft,Dealer Type
2,BHK,Kolkata,30.18,1006,Broker
2,BHK,Kolkata,49.35,1175,Broker
2,BHK,Kolkata,30.33,1011,Broker
2,BHK,Kolkata,26.9,887,Broker
2,BHK,Kolkata,53.82,1036,Broker
3,BHK,Kolkata,90.71,1334,Broker
1,BHK,Kolkata,28.68,717,Broker
2,BHK,Kolkata,60,956,Broker
2,BHK,Kolkata,58.17,895,Broker
2,BHK,Kolkata,29.63,956,Broker
2,BHK,Kolkata,32.76,1008,Broker
2,BHK,Kolkata,15.3,488,Broker
2,BHK,Kolkata,65.1,1400,Broker
2,BHK,Kolkata,55.1,1185,Broker
2,BHK,Kolkata,45.19,972,Broker
2,BHK,Kolkata,23.28,803,Broker
2,BHK,Kolkata,21.75,750,Broker
2,BHK,Kolkata,38.83,1022,Broker
2,BHK,Kolkata,35.79,942,Broker
2,BHK,Kolkata,42.07,935,Broker
2,BHK,Kolkata,55.21,952,Broker
3,BHK,Kolkata,90.04,1072,Broker
3,BHK,Kolkata,38.14,1156,Broker
2,BHK,Kolkata,78.03,929,Broker
3,BHK,Kolkata,43.86,1081,Broker
2,BHK,Kolkata,49.27,1095,Broker
2,BHK,Kolkata,25.6,800,Broker
2,BHK,Kolkata,25.41,1059,Broker
2,BHK,Kolkata,24.06,512,Broker
2,BHK,Kolkata,36.48,1177,Broker
2,BHK,Kolkata,32.58,665,Broker
2,BHK,Kolkata,27.65,988,Broker
2,BHK,Kolkata,22.53,524,Broker
2,BHK,Kolkata,47.17,890,Broker
2,BHK,Kolkata,27.13,875,Broker
2,BHK,Kolkata,23.23,726,Broker
2,BHK,Kolkata,26.25,700,Broker
2,BHK,Kolkata,33.33,1010,Broker
2,BHK,Kolkata,46,902,Broker
2,BHK,Kolkata,44.71,771,Broker
3,BHK,Kolkata,69,1460,Broker
2,BHK,Kolkata,27.99,801,Broker
3,BHK,Kolkata,42,1107,Broker
4,BHK,Kolkata,98.5,2985,Broker
2,BHK,Kolkata,44.54,655,Broker
2,BHK,Kolkata,43.54,1555,Broker
2,BHK,Kolkata,21.84,780,Broker
2,BHK,Kolkata,33.74,1133,Broker
2,BHK,Kolkata,33.92,848,Broker
2,BHK,Kolkata,73.1,1075,Broker
2,BHK,Kolkata,19.6,700,Broker
2,BHK,Kolkata,40,920,Broker
2,BHK,Kolkata,60,956,Broker
2,BHK,Kolkata,35,875,Broker
2,BHK,Kolkata,41.42,1135,Broker
2,BHK,Kolkata,65,1018,Broker
2,BHK,Kolkata,25,500,Broker
2,BHK,Kolkata,28.3,913,Broker
2,BHK,Kolkata,70,1280,Broker
2,BHK,Kolkata,53,950,Broker
3,BHK,Kolkata,64,1220,Broker
2,BHK,Kolkata,58.6,1043,Broker
2,BHK,Kolkata,47.25,945,Broker
2,BHK,Kolkata,35.72,940,Broker
2,BHK,Kolkata,37.74,1110,Broker
3,BHK,Kolkata,36.23,1098,Broker
3,BHK,Kolkata,39.41,993,Broker
2,BHK,Kolkata,35.74,966,Broker
2,BHK,Kolkata,71.28,1080,Broker
2,BHK,Kolkata,49.83,1100,Broker
2,BHK,Kolkata,51.87,1178,Broker
2,BHK,Kolkata,40.84,888,Broker
2,BHK,Kolkata,43.93,955,Broker
2,BHK,Kolkata,33.46,956,Broker
2,BHK,Kolkata,34.78,669,Broker
3,BHK,Kolkata,87.82,1483,Broker
2,BHK,Kolkata,47.41,862,Broker
2,BHK,Kolkata,41.41,609,Broker
2,BHK,Kolkata,43.7,875,Broker
2,BHK,Kolkata,68.88,1379,Broker
2,BHK,Kolkata,24.85,710,Broker
2,BHK,Kolkata,54.65,1416,Broker
2,BHK,Kolkata,35,800,Broker
2,BHK,Kolkata,17.5,500,Broker
2,BHK,Kolkata,28.5,950,Broker
2,BHK,Kolkata,53,1000,Broker
2,BHK,Kolkata,22.79,530,Broker
3,BHK,Kolkata,36.92,1191,Broker
2,BHK,Kolkata,48,800,Broker
3,BHK,Kolkata,59.56,1103,Broker
2,BHK,Kolkata,36.18,885,Broker
2,BHK,Kolkata,98.86,1535,Broker
2,BHK,Kolkata,25.15,749,Broker
2,BHK,Kolkata,20.15,775,Broker
2,BHK,Kolkata,39.87,1246,Broker
2,BHK,Kolkata,37.8,900,Broker
2,BHK,Kolkata,48,1200,Broker
2,BHK,Kolkata,33.3,740,Broker
2,BHK,Kolkata,34.51,986,Broker
2,BHK,Kolkata,39,1300,Broker
2,BHK,Kolkata,35,1250,Broker
2,BHK,Kolkata,11.2,400,Broker
2,BHK,Kolkata,39.69,850,Broker
2,BHK,Kolkata,48.8,1220,Broker
2,BHK,Kolkata,27.9,775,Broker
2,BHK,Kolkata,20.68,880,Broker
2,BHK,Kolkata,27.93,873,Broker
3,BHK,Kolkata,60.48,1657,Broker
2,BHK,Kolkata,89.76,1145,Broker
3,BHK,Kolkata,73.97,1424,Broker
3,BHK,Kolkata,33.8,1040,Broker
3,BHK,Kolkata,75,954,Broker
2,BHK,Kolkata,41.62,1125,Broker
2,BHK,Kolkata,36.49,911,Broker
2,BHK,Kolkata,35.2,1100,Broker
2,BHK,Kolkata,35.8,895,Broker
2,BHK,Kolkata,31.3,1039,Broker
2,BHK,Kolkata,95.94,1398,Broker
2,BHK,Kolkata,36.8,1150,Broker
2,BHK,Kolkata,32.8,820,Broker
2,BHK,Kolkata,53.5,1029,Broker
2,BHK,Kolkata,37.8,900,Broker
2,BHK,Kolkata,55.53,1190,Broker
2,BHK,Kolkata,26.5,1000,Broker
2,BHK,Kolkata,28.67,896,Broker
2,BHK,Kolkata,22.3,858,Broker
2,BHK,Kolkata,35.7,850,Broker
2,BHK,Kolkata,93.5,1700,Broker
2,BHK,Kolkata,44.27,805,Broker
2,BHK,Kolkata,72.05,1310,Broker
2,BHK,Kolkata,17.71,611,Broker
2,BHK,Kolkata,65,1018,Broker
2,BHK,Kolkata,91.23,1573,Broker
2,BHK,Kolkata,19.29,861,Broker
2,BHK,Kolkata,41.6,1600,Broker
2,BHK,Kolkata,23.01,1028,Broker
2,BHK,Kolkata,31.5,1125,Broker
2,BHK,Kolkata,15.98,470,Broker
2,BHK,Kolkata,10.8,400,Broker
2,BHK,Kolkata,78,1235,Broker
2,BHK,Kolkata,16.28,440,Broker
2,BHK,Kolkata,36.23,1098,Broker
2,BHK,Kolkata,40.31,650,Broker
1,BHK,Kolkata,17.29,556,Broker
3,BHK,Kolkata,69,1460,Broker
2,BHK,Kolkata,26.75,1070,Broker
2,BHK,Kolkata,32.4,1200,Broker
2,BHK,Kolkata,25.35,780,Broker
2,BHK,Kolkata,30,800,Broker
2,BHK,Kolkata,16.2,600,Broker
2,BHK,Kolkata,67.39,1434,Broker
2,BHK,Kolkata,29.4,1050,Broker
2,BHK,Kolkata,95,1246,Broker
2,BHK,Kolkata,79.56,1170,Broker
2,BHK,Kolkata,15.9,538,Broker
2,BHK,Kolkata,45,960,Broker
2,BHK,Kolkata,22.95,850,Broker
2,BHK,Kolkata,24.49,907,Broker
3,BHK,Kolkata,85,1350,Broker
3,BHK,Kolkata,90,1150,Individual
2,BHK,Kolkata,18.5,620,Individual
1,BHK,Kolkata,7,350,Individual
1,BHK,Kolkata,7,350,Individual
2,BHK,Kolkata,35.8,895,Broker
2,BHK,Kolkata,77.02,983,Broker
3,BHK,Kolkata,75,1090,Broker
2,BHK,Kolkata,95,1475,Broker
3,BHK,Kolkata,64,1220,Broker
2,BHK,Kolkata,39.5,1000,Individual
2,BHK,Kolkata,24.99,833,Broker
2,BHK,Kolkata,55.38,1040,Broker
2,BHK,Kolkata,62.67,1177,Broker
2,BHK,Kolkata,39.85,1022,Broker
